jp,fr,occurrences,has_var,en_hint
"ライトボウガンを
さらに極めんとする者に
与えられる精励の綬章。【極】",,1,yes,
"ヘビィボウガンを
さらに極めんとする者に
与えられる精励の綬章。【序】",,1,yes,
"ヘビィボウガンを
さらに極めんとする者に
与えられる精励の綬章。【中】",,1,yes,
"ヘビィボウガンを
さらに極めんとする者に
与えられる精励の綬章。【極】",,1,yes,
"弓をさらに極めんと
する者に与えられる
精励の綬章。【序】",,1,,
"弓をさらに極めんと
する者に与えられる
精励の綬章。【中】",,1,,
"弓をさらに極めんと
する者に与えられる
精励の綬章。【極】",,1,,
"極限征伐クエストで
たぐいまれな成績を残した
ハンターに送られる証書。",,1,yes,
"イモータルトーメントの生産
方法が記された紙。
工房に持っていこう！",,1,yes,
"ラビナスフューリーの生産
方法が記された紙。
工房に持っていこう！",,1,yes,
"ほのかに磁力を帯びている
特殊な毛。髪飾りの素材に
最適なため好まれて使われる。",,1,,
"緊急依頼を達成した際に
ギルドから発行される証明書。",,1,yes,
"衝撃を与えると心を落ち着ける
香りを放つ玉。一部モンスター
の凶暴性を鎮める効果がある。",,1,yes,
"自身の限界を感じた時に使用す
ることで、極征クエストを初め
からやりなおすことができる。",,1,yes,
"主にシジルを分離させる際に
用いられる不思議な素材。
扱うには特殊な技術が必要。",,1,yes,
"イャンクックの発声器官。
風が通ると甲高い音色を
鳴り響かせる。",,1,yes,
"鎧の如く堅牢な盾蟹の甲殻。
甲殻の隙間は柔らかいので
そこを狙おう。",,1,,
"純白に輝くババコンガの歯。
手入れが行き届いた歯の
切れ味は侮れない。",,1,yes,
"よくしなる毒怪鳥の尻尾。
ゴム質の素材のため
加熱加工は難しい。",,1,yes,
"毒性を帯びたバサルモスの
甲殻。時間が経過すると
爆発するので注意が必要。",,1,yes,
"並みの太刀よりもよく斬れる
ショウグンギザミの爪。",,1,yes,
"伸縮性に優れたフルフルの
柔皮。インナーの素材として
重宝される。",,1,yes,
"虎模様が美しいティガレックス
の皮。高価な衣類の素材と
して使用される。",,1,yes,
"パリアプリアの酸液でも
溶けない鉱石。
ものすごく硬い。",,1,yes,
"グラビモスの体内で成熟した
紅蓮石。
その熱さは溶岩に匹敵する。",,1,yes,
"歪に生えそろった溶岩竜の
牙。一度噛まれると逃げ出す
ことは困難。",,1,,
"猛毒を含むエスピナスの棘。
解毒薬を作るときに用いられる
ことがある。",,1,yes,
"激昂したラージャンの血液。
湯気が出るほどの高温と
なっている。",,1,yes,
"荒れ狂う蛮竜の棘。
雷を呼び寄せる作用がある
ので雨天時の持ち歩きは危険。",,1,,
"先端が筆の様な形をしている
デュラガウアの尻尾。
かなりの重量がある。",,1,yes,
"数多の傷が付いても
硬度が失われていない
イャンガルルガの甲殻。",,1,yes,
"岩盤を砕くほどに発達した
闘獣の剛腕。被弾すれば
致命傷は免れない。",,1,,
"赤闘獣の毛の中でも特に
赤みがかった毛。
太く、硬いのが特徴。",,1,,
"青闘獣の毛の中でも特に
青みがかった毛。
細く、しなやかなのが特徴。",,1,,
"激しい動きに耐えるための
血液を生み出す闘獣の骨髄。",,1,,
"他の牙獣種よりも丈夫な
尻尾。太い尻尾は身体を
支える役割を持つ。",,1,,
"怒り時に肥大する闘獣の
たてがみ。帯電性に優れた
毛質となっている。",,1,,
"闘獣の磁力によって判別
された、加工に優れた砂鉄。
防具の素材として重宝される。",,1,,
"赤闘獣の白色の毛皮。
赤と白の彩りが美しく、
貴族の間で人気の品。",,1,,
"青闘獣の黒色の毛皮。
青と黒の凛とした色合いが
狩人の間で人気の品。",,1,,
"強い衝撃から身を守る
ための分厚い毛皮。",,1,,
"強度の増した闘獣の尻尾。
毛質が良く、武具の素材と
しての価値が高い。",,1,,
"固い食物を容易く噛み潰す
ほど強力な顎。",,1,,
"闘獣の磁力によって判別
された、純度の高い砂鉄。
武器の素材として重宝される。",,1,,
"闘獣の熱き心臓。
この心臓を目にした者は
筋肉が躍動する。",,1,,
"ミスティレイピアの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"テリファイレイピアの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ヘックスハンマーの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"レックレスハンマーの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ヴァリアンライフルの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ヴァリアンスコージの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ヴァリアンカービンの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ヴァリアンドロウの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ヴァリアンブラストの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ヴァリアンモンスーンの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エッセンスライフルの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エッセンススコージの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エッセンスカービンの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エッセンスドロウの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エッセンスブラストの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エッセンスアトリの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
Gラヴィ弱点用爆弾,,1,yes,
"復活支援を行うための
特殊な鉱石。支援用大砲に
詰め込んで発射しよう！",,1,,
"鎮静支援を行うための
特殊な鉱石。支援用大砲に
詰め込んで発射しよう！",,1,,
"毒支援を行うための
特殊な鉱石。支援用大砲に
詰め込んで発射しよう！",,1,,
"部位破壊支援を行うための
特殊な鉱石。支援用大砲に
詰め込んで発射しよう！",,1,,
"攻撃支援を行うための
特殊な鉱石。支援用大砲に
詰め込んで発射しよう！",,1,,
"磨き上げられた鋼のピッケル。
特殊な鉱石の採掘が可能。
{c05}（支給品専用）",,1,yes,
"遠い昔に使われていた道具。
このままでは使用できない。
{c05}（納品専用）",,1,,
"ユニカム・バーストの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ユニカムペインの
の生産方法が記された紙。
工房に持って行こう！",,1,yes,
"イクロム・バーストの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"イクロムバイトの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ナーデルパライズの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ナーデルドライブの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ナーデルトキシックの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ナーデルマイアズマの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"カービス・マテリの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"カルドラ・マテリの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"カービス・エレメの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"カルドラ・エレメの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"バスターランチャーの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ヒュドラモルターの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エイリア・クェンネルの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エイリア・ウィルの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"トーメン・クェンネルの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"トーメン・ウィルの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"★５の解放を記念してＧ級
ハンターに配布された硬貨。
ハリセンネコに渡そう！",,1,yes,
"極征クエストを達成した
ハンターがもらえる逸品。
ハリセンネコに渡そう！",,1,yes,
"極征クエストで成果をあげた
ハンターがもらえる逸品。
ハリセンネコに渡そう！",,1,yes,
"日光のような眩しさを湛えた
至高の逸品。",,1,,
"月光のような麗しさを湛えた
至高の逸品。",,1,,
"★６の解放を記念してＧ級
ハンターに配布された硬貨。
ハリセンネコに渡そう！",,1,yes,
"★７の解放を記念してＧ級
ハンターに配布された硬貨。
ハリセンネコに渡そう！",,1,yes,
"極限征伐戦でより高みを目指
すための道標。持っていると、
追加報酬を獲得できる。",,1,,
"気持ちを落ち着ける香りを放つ
草。花を煮詰めると、香水の元
となるエキスが採れる。",,1,yes,
"磨いても修復できないほどに
ボロボロになった宝石。がら
くたとしての価値しかない。",,1,yes,
"ジャイアントコーンを模した
ライトボウガンの生産券。
チョコナッツ型。",,1,yes,
"ジャイアントコーンを模した
ライトボウガンの生産券。
クッキー＆チョコ型。",,1,yes,
"ジャイアントコーンを模した
ライトボウガンの生産券。
クッキー＆クリーム型。",,1,yes,
"ジャイアントコーンを模した
ライトボウガンの生産券。
ラムレーズン型。",,1,yes,
"内側をチョコレートでコー
ティングする事により、いつ
までもサクサク食感なコーン。",,1,yes,
"花弁に水分を多く含んだ草。
寒くなると表面が凍り、美し
い氷の花を見ることができる。",,1,,
"錆を落としたりする際に
使用する、質の高い研磨剤。
少量で抜群の効果がある。",,1,,
"アツく燃える狩人の座右の銘。
狩人にとって最も大切な
ものを思い出させてくれる。",,1,yes,
"透き通った美しい音を発する
音叉。見た目も美しいが、
強く叩くと壊れてしまう。",,1,,
"偶然発見された書物の結巻。
ある武器を強化するための
方法が記されている。",,1,,
"青く透き通った単結晶の円錐。
非常に硬く加工は困難。誰が
どうやって作ったかは不明。",,1,,
"天を落とせと地を穿ち、
全てを支配するための
方法が書かれた書物。",,1,,
"非常に鋭利な大爪の一部。
枕元に置いて寝ると、勝利を
掴む夢を見ることができる。",,1,,
"落雷のあった場所で発見され
た、強い帯電性を持つ鉱物。
素手で触れると感電する。",,1,,
"ごつごつとした黒い金属。
見た目に反して、片手だけ
でも簡単に握りつぶせる。",,1,,
"採取を極めたハンターの証。
その功績は世界を栄華に
導いたと言われるほど。",,1,yes,
"シリーズクエスト受付嬢の
ミズキがくれた狩猟委任状。
Ｇ級クエストで効果がある。",,1,yes,
"Ｇ級ハンターに向けギルドが
発行している狩猟委任状。
狩猟の成果が高評価される。",,1,yes,
"狩りへの熱意がこもる力強い
筆跡の紹介状。Ｇ級ハンター
の評価がより高まる。",,1,yes,
"有望なＧ級ハンターに向けて
ギルドが発行する委任状。
成果がより高く評価される。",,1,yes,
"ＨＲ帯クエストに所持すると、
同行した猟団員ＮＰＣにも
恩恵が得られる推薦状。",,1,yes,
"ＨＲ帯クエストに所持すると、
同行した猟団員ＮＰＣにも
恩恵が得られる推薦状。中。",,1,yes,
"ＨＲ帯クエストに所持すると、
同行した猟団員ＮＰＣにも
恩恵が得られる推薦状。大。",,1,yes,
"ギルドが猟団へ用意した、
特別な依頼を受けるための
チケット。",,1,yes,
"ダクスハンクの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ダクスアクセルの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ライノミックシンシアの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ライノミックティデロの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"バグズジェミオレの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"バグズジェミブルの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ロジベルンの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"グリンデピアスの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ゲネアレギルングの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ゲネアドーレの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アドニスラピスの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"メルガイデソルフの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ノクタブルトの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ベロナマッサの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"クロワボウの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ユエンボウの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"スタウロスソードの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ロンドゥソードの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ルントハンマーの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"クラウスハンマーの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"飲むと防御力が大幅に上昇し、
スキル「いたわり+3」の効
果を得る幻の霊薬。",,1,yes,
"モンスターを一定数狩猟する
と貰えるメダル。集めて
調合屋に持っていこう！",,1,yes,
"クエスト達成後の待ち時間を
短縮【微】。ハンターが１人
の時のみ有効。(NPCを除く)",,1,yes,
"クエスト達成後の待ち時間を
短縮【小】。ハンターが１人
の時のみ有効。(NPCを除く)",,1,yes,
"クエスト達成後の待ち時間を
短縮【中】。ハンターが１人
の時のみ有効。(NPCを除く)",,1,yes,
"クエスト達成後の待ち時間を
短縮【大】。ハンターが１人
の時のみ有効。(NPCを除く)",,1,yes,
"クエスト達成後の待ち時間を
短縮【極大】。ハンターが１
人の時のみ有効。(NPCを除く)",,1,yes,
"お守りの力により、気力が
充実！いつもよりも多くの
採集が行える。【効果：微】",,1,,
"お守りの力により、気力が
充実！いつもよりも多くの
採集が行える。【効果：小】",,1,,
"お守りの力により、気力が
充実！いつもよりも多くの
採集が行える。【効果：中】",,1,,
"お守りの力により、古の採集
名人の魂が降臨！匠の技で
採集を行える。【効果：微】",,1,,
"お守りの力により、古の採集
名人の魂が降臨！匠の技で
採集を行える。【効果：小】",,1,,
"クエスト出発時に体力が１０
増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト出発時に体力が２０
増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト出発時に体力が３０
増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト出発時に体力が４０
増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト出発時に体力が５０
増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト出発時にスタミナが
１０増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト出発時にスタミナが
２０増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト出発時にスタミナが
３０増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト出発時にスタミナが
４０増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト出発時にスタミナが
５０増加する。力尽きても
効果は持続する。",,1,yes,
"クエスト達成時の獲得
狩人珠ポイントが２倍になる。",,1,yes,
"剣士系武器に装填することで
威力を固定の爆発ダメージに
変える貴重な石。最大１０個。",,1,yes,
"進化武器に装填することで
攻撃力を上げられる貴重な石。
最大１０個。",,1,,
"剣士系武器に装填することで
攻撃に毒効果を付与できる
貴重な石。最大５個。",,1,,
"剣士系武器に装填することで
攻撃に麻痺効果を付与できる
貴重な石。最大５個。",,1,,
"剣士系武器に装填することで
攻撃に睡眠効果を付与できる
貴重な石。最大５個。",,1,,
"剣士系武器に装填することで
攻撃に火属性を付与できる
貴重な石。最大１０個。",,1,,
"剣士系武器に装填することで
攻撃に水属性を付与できる
貴重な石。最大１０個。",,1,,
"剣士系武器に装填することで
攻撃に雷属性を付与できる
貴重な石。最大１０個。",,1,,
"剣士系武器に装填することで
攻撃に氷属性を付与できる
貴重な石。最大１０個。",,1,,
"剣士系武器に装填することで
攻撃に龍属性を付与できる
貴重な石。最大１０個。",,1,,
"多くの依頼を達成しギルドに
貢献した証。本のような形で
まとめられており、分厚い。",,1,yes,
"心地よい音を発する、
不思議な宝珠。歌の効力を
高めることができる。",,1,,
"有名な菓子職人が作った
外はしっとり、中はふんわり
女性が喜ぶ絶品ケーキ。",,1,yes,
"有名な養蜂職人が作った
花蜜の栄養たっぷりのジャム。
声が美しくなるとの噂。",,1,yes,
"有名な茶葉職人が作った
のどに優しい甘いお茶。
声に気を使う方にぜひ。",,1,,
"アイルーが拾ってきた、何か
の花の種。小さいが、とても
強い生命力を感じる。",,1,yes,
"ハンターの採集生活を
体験できる図面。
本当に採集できます。",,1,yes,
"尾晶蠍の身体の細部に生えて
いる細かな毛。毒性を帯びて
いるので非常に危険。",,1,,
"アクラ・ヴァシムの体液が
凝固してできた結晶。
衝撃によって眩い光を放つ。",,1,yes,
"アクラ・ヴァシムの濃厚な
体液。粘着性を含んでおり
身体に付くと中々取れない。",,1,yes,
"突然変異した黒鎧竜から
剥ぎ取れる骨髄。熱せられた
表面は赤色を帯びている。",,1,,
"空気に触れると発火してしまう
黒鎧竜の骨髄。
素早い加工技術が要求される。",,1,,
"黒鎧竜の血液を生成する器官。
その血液は岩石を容易く
溶かすほどの高温である。",,1,,
"黒鎧竜の生命活動において、
最も大事な器官。生成される
髄液は焔のように熱いという。",,1,,
"強力な個体の砂竜から剥ぎ
取れる鱗。摩擦が起きにくい
つくりをしている。",,1,,
"深い青みを帯びた砂竜の鱗。
武器や防具の装飾として
用いられることが多い。",,1,,
"狂暴なドスガレオスの鱗。
荒れた鱗だが、その強度は
飛竜の甲殻に匹敵する。",,1,yes,
"激昂するドスガレオスの鱗。
滅多にお目に掛かれない
幻の素材。",,1,yes,
"黄金に光輝く金火竜の逆鱗。
触れることを拒むかの如く
鋭利な形状をしている。",,1,,
"金火竜の体内で生成される
稀少な宝石。残月の光を
浴びると紅色に光輝く。",,1,,
"ドスランポスの内臓器官。
様々な効果を持つ液体が
溜まっている。",,1,yes,
"水竜の体内で生成された
不思議な玉。水の中に入れる
と水泡が噴き出る。",,1,,
"体液に含まれる金属分が
電気によって固まった
ベルキュロスの涙。",,1,yes,
"喰血竜が吸血した体液は、
ここで一時的に保存している。
とても脆く、劣化が早い。",,1,,
"ドスランポスから剥ぎ取った
鱗。ランポスより硬く、加工
は困難を極める。",,1,yes,
"ランポスリーダーの牙。細く
鋭いため、よく加工道具に
用いられる。",,1,yes,
"ランポスの群れを束ねる
リーダーの証。色や形で
群れの大きさが分かる。",,1,yes,
"ドスランポスの激しい動きを
支える堅牢な骨。損傷の少ない
骨格は高値で取引される。",,1,yes,
"ドスゲネポスから剥ぎ取った
鱗。ゲネポスより硬いが、
より良質な武具が作成可能。",,1,yes,
"ドスゲネポスに生えている
２本の牙。飛竜種をも麻痺
させる神経毒を分泌する。",,1,yes,
"ゲネポスの群れを束ねる
リーダーの証。色や形で
群れの大きさが分かる。",,1,yes,
"絶命後も強力な神経毒を
含むドスゲネポスの爪。",,1,yes,
"ドスイーオスから剥ぎ取った
鱗。毒を含んでいる為、加工
に手間がかかる。",,1,yes,
"発達したドスイーオスの骨。
多少の毒性を含むため、刃や
矢尻などに使用される。",,1,yes,
"イーオスの群れを束ねる
リーダーの証。色や形で
群れの大きさが分かる。",,1,yes,
"体内より生成された猛毒を
獲物に注入する役割を持つ
ドスイーオスの牙。",,1,yes,
"水竜の立派な牙。
無数の傷跡から、幾多の戦いを
潜り抜けてきたことがわかる。",,1,,
"水竜の立派なヒレ。
無数の傷跡から、幾多の戦いを
潜り抜けてきたことがわかる。",,1,yes,
"ガノトトスの体内から発見
された、キングロブスターの
巨大な鋏。",,1,yes,
"水気を帯びると誘眠効果を発生
させるガノトトスの翼膜。",,1,yes,
"角竜の立派な甲殻。
無数の傷跡から、幾多の戦いを
潜り抜けてきたことがわかる。",,1,,
"角竜の立派な牙。
無数の傷跡から、幾多の戦いを
潜り抜けてきたことがわかる。",,1,,
"大地を抉るのに最も適した
形状とされる角。人々からは
生ける芸術として称賛される。",,1,,
"左右対称のディアブロスの
角。希少性が極めて高く
中々お目にかかれない。",,1,yes,
"通常の個体の素材よりも
硬度と耐久力ともに優れた
舞雷竜の甲殻。",,1,,
"通常の個体の素材よりも
硬度と耐久力ともに優れた
舞雷竜の鱗。",,1,,
"勇壮なベルキュロスから
剥ぎ取れる延髄。数多の
武具の加工に用いられる。",,1,yes,
"体内から雷を放電する際に
強烈な音を鳴り響かせる
舞雷竜の角。",,1,,
"長い年月をかけて成長した
砂竜の牙。時間が経過しても
風化しない不朽の素材。",,1,,
"長い年月をかけて成長した
砂竜の鱗。時間が経過しても
風化しない不朽の素材。",,1,,
"「砂漠の桜」と言われるほど
美しい色をした砂竜のヒレ。
観賞用としての価値も高い。",,1,yes,
"砂漠の砂によって磨き上げ
られた砂竜の鱗。
その手触りはまさに絶品。",,1,,
"異彩を放つ黒鎧竜の甲殻。
武具・防具・装飾品と様々な
用途で重宝される。",,1,,
"異彩を放つ黒鎧竜の骨。
武具・防具・装飾品と様々な
用途で重宝される。",,1,,
"鋼よりも硬い黒鎧竜の甲殻。
ゴツゴツとした独特の形状の
ため加工が難しい。",,1,yes,
"通常の黒鎧竜よりも強靭な翼。
非常に重いため運び出すのは
一苦労。",,1,,
"未開の地で出会った金色の
リオレイアから剥いだ鱗。
とても美しく黄金に輝く。",,1,yes,
"細かい鱗で覆われている外殻。
本物の黄金と見間違うほどで、
価値が高い。",,1,,
"金色のリオレイアの背中と
尻尾に生えている太い棘。
多くの毒を含んでいる。",,1,yes,
"金色に輝く金火竜の逆鱗。
近寄りがたいほど神々しい
存在感を放っている。",,1,,
"邪悪なミラボレアスの甲殻。
刃を通さない強固さに加え
恐ろしいほどの再生力を持つ。",,1,yes,
"邪悪なミラボレアスの角。
頭部を保護する機能に加え
龍の力を制御する機能を持つ。",,1,yes,
"邪悪なミラボレアスの翼。
黒龍の羽音を聞いた生物は
瞬時にその場から逃げ出す。",,1,yes,
"邪悪なミラボレアスの眼。
妖艶な光を放ち、見たものを
深淵へといざなう。",,1,yes,
"ミラボレアスの体内で
発見された、大きさと重さが
比例しない謎の黒色物質。",,1,yes,
"黒龍の体内で長い年月を経て
生成された宝玉。何の素材で
構成されているのか一切不明。",,1,,
"ゼルレウスの上質な鱗。
傷一つない純白の鱗は
極めて稀少とされる。",,1,yes,
"ゼルレウスの上質な甲殻。
環境に応じて硬度や形状が
変化する。",,1,yes,
"ゼルレウスの激しい動きを
支えるための血液を生む骨髄。
青白く光っている。",,1,yes,
"輝界竜の体内で長い年月を
経て生成された青色の宝玉。
重さを感じさせないほど軽い。",,1,,
"剣の様に鋭いゼルレウスの尾。
斬撃に対しての強度が高く
切断するのは一苦労。",,1,yes,
"重厚なゼルレウスの角。
重量な角から繰り出される
攻撃は必殺の威力を秘める。",,1,yes,
"ゼルレウスの高速飛行を
可能とさせる翼。光り輝く
翼はハンター達を魅了する。",,1,yes,
"鋭さと頑強さが増した
ゼルレウスの爪。硬質な岩盤
を切裂くほどの斬れ味を持つ。",,1,yes,
"輝界竜、ゼルレウスの鱗。
白色の輝きを放つ鱗からは
神聖さが感じられる。",,1,yes,
"ゼルレウスの青白い甲殻。
鱗よりも硬度は落ちるが
損傷するとすぐに再生する。",,1,yes,
"ゼルレウスの体内に流れる
体液。外気に触れると硬質化
する作用がある。",,1,yes,
"ゼルレウスの怒りを露わにした
鱗。逆立つ鱗は触れることを
躊躇わせる。",,1,yes,
"ゼルレウスの尻尾。
体内に蓄積された粒子を
尻尾先から放出する。",,1,yes,
"ゼルレウスの下顎から生える
2本の角。岩盤を容易く削り
とるほど強固である。",,1,yes,
"ゼルレウスの翼爪。
翼の守りと、獲物を切裂く
2つの役割を持つ。",,1,yes,
"ゼルレウスの爪。
耐火性に優れ並大抵の攻撃では
傷一つ付けられない。",,1,yes,
"バルラガルの白い皮。
表面は水面のような光沢が
あり、武具素材に用いられる。",,1,yes,
"バルラガルの紫色の鱗。
光の当たり方により青色にも
見え、武具が上品に仕上がる。",,1,yes,
"喰血竜の体内を流れる体液の
中でも、成分が濃いため、
より多くの素材を加工できる。",,1,,
"バルラガルが吸血時に吸収し
た毒などを、体内に取り込ま
ないように循環させる器官。",,1,yes,
"バルラガルの尻尾の先端。
地面に大穴を空ける力強さで
ハンターに襲い掛かる。",,1,yes,
"バルラガルの前足の触手の中
でも特に細いもの。土や水を
はじく効果がある。",,1,yes,
"バルラガルの背中の紅いヒレ。
通常よりも大きく、硬い為、
大型の武器に使用される。",,1,yes,
"バルラガルの舌の先端。
肉に突き刺さると広がり、体
液を啜るのに適した形になる。",,1,yes,
"バルラガルの頭部の紅い
トサカ。水に濡れると大きく
広がる性質を持つ。",,1,yes,
"バルラガルの皮。
常にヌメヌメしており、
よく伸びる。",,1,yes,
"くすんだ白色の喰血竜の鱗。
他のモンスターに比べて
柔らかく、加工しやすい。",,1,yes,
"喰血竜の体内を流れる体液。
いろいろな薬品に反応する為、
触媒としてよく用いられる。",,1,,
"吸血した血ではなく、喰血竜
自身の血。純粋なものを採取
するのは、かなり難しい。",,1,,
"バルラガルのしなやかな尾。
柔らかい素材で鞭のように
しなり、叩かれると痕が残る。",,1,yes,
"バルラガルの前足についてる
細い毛のような触手。
電気が流れない絶縁素材。",,1,yes,
"バルラガルの背中のヒレ。
硬い芯と刃のような切れ味
から武器の刀身に使用される。",,1,yes,
"伸縮自在なバルラガルの舌。
中は管になっており、獲物に
突き刺し、吸血が可能である。",,1,yes,
"バルラガルの頭のトサカ。
背中のヒレより柔らかく、
防具などにも用いられる。",,1,yes,
"祈りの力が込められた木の葉。
特別な防具を作るための
材料として使用できる。",,1,,
"祈りの力が強く宿る樹の枝。
特別な防具を強化するために
使用することができる。",,1,,
"強い生命力を宿す祈樹の種。
特別な防具をさらに強化する
材料として使用できる。",,1,,
"パキシーロームの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"功猟のメダルと交換した護符
を、もう一度、功猟のメダルに
戻すときに必要な券。",,1,yes,
"シンドルリステの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ガスギャルドの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"エグゼルグリードの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"アプソロンジークの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ナーディスヴェアの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"ハユリュネードの
生産方法が記された紙。
工房に持って行こう！",,1,yes,
"所々破れているため、判読に
時間を要するが、古き時代に
書かれたと思しき武器設計図。",,1,,
"年代物と思われる、錆びまみ
れのヤスリ。復元すれば、特
定の武具をより強化できそう。",,1,yes,
"薄汚れてしまった朱色の玉。
丹念に洗えば、当時の輝きを
取り戻し、武具強化が可能？",,1,,
"飢えたモンスターの成れの
果て。武器素材として使う
ことで、その攻撃力が蘇る。",,1,yes,
"滅多にお目にかかれない、幻
とまでいわれている鉱石。手
にした者は拍手で迎えられる。",,1,,
"陽の上る前の僅かな時間に
のみ取れる清廉な水を使用
して織られた布の切れ端。",,1,,
"まばゆい光を放つ紅色の石の
塊。製錬には高度な技術を求
められるため注意が必要。",,1,,
"見続けていると吸い込まれる
ような印象を受ける漆黒の石。
気弱な武具職人には扱えない。",,1,,
"非常に手触りの良い、緋色の
布の切れ端。誰もがほしがる
汎用性の高さが魅力的。",,1,,
"空のごとき色を帯びた石の塊。
見る者の心をとらえて離さぬ
落ち着いた色合いが魅力。",,1,,
"空のごとき色を帯びた織物。
見る者の心をとらえて離さぬ
落ち着いた色合いが魅力。",,1,,
"空のごとき色を帯びた玉。
見る者の心をとらえて離さぬ
落ち着いた色合いが魅力。",,1,,
"近年発掘された藍色の石。眼
球のような形をしており、何
かの儀式で使われた可能性も。",,1,,
"藍色の細かな装飾が
施された古い鏡。
磨いても曇りが取れない。",,1,,
"珍しい藍色の刃を持った小刀。
武器としては使えそうにない。",,1,,
"どこかのハンターが描いた
古いスケッチブック。
ところどころ色褪せている。",,1,yes,
"どこかのハンターが書いた
古い日記帳。ところどころ
ページが抜けている。",,1,yes,
"どこかのハンターが書いた
古い手紙。まだ開封さえ
されていないようだ…。",,1,yes,
"とある砂漠地方の武器職人が
作ったと言われる設計図。",,1,,
"とある砂漠地方の武器職人が
作ったと言われる小さなネジ。",,1,yes,
"とある砂漠地方の武器職人が
作ったと言われる弾丸。",,1,,
"周囲の音を少し吸収するよう
な効力が見受けられる黒い鉛。
精神が研ぎ澄まされる気分に。",,1,,
"目が覚めるように鮮やかな
紅色の鉱石。非常に加工し
やすいが、その強度は絶品。",,1,,
"一時忘れられていた技術で製
錬された鉄鋼。口伝で伝わる
ため、時たま伝承が途絶える。",,1,,
